problem_statement,required_skills,project,tenure,skills,discipline
,,Wind energy conversion system for rural power,,"Energy Systems (Intermediate), Mechanical Analysis (Basic)",Mechanical
,,Wind energy conversion system for rural power,,"Energy Systems (Intermediate), Mechanical Analysis (Basic)",Mechanical
,,Wind energy conversion system for rural power,,"Energy Systems (Intermediate), Mechanical Analysis (Basic)",Mechanical
,,Wind energy conversion system for rural power,,"Energy Systems (Intermediate), Mechanical Analysis (Basic)",Mechanical
,,Wind energy conversion system for rural power,,"Energy Systems (Intermediate), Mechanical Analysis (Basic)",Mechanical
,,Wind energy conversion system for rural power,,"Energy Systems (Intermediate), Mechanical Analysis (Basic)",Mechanical
,,Wind energy conversion system for rural power,,"Energy Systems (Intermediate), Mechanical Analysis (Basic)",Mechanical
,,Wind energy conversion system for rural power,,"Energy Systems (Intermediate), Mechanical Analysis (Basic)",Mechanical
,,Wind energy conversion system for rural power,,"Energy Systems (Intermediate), Mechanical Analysis (Basic)",Mechanical
,,Wind energy conversion system for rural power,,"Energy Systems (Intermediate), Mechanical Analysis (Basic)",Mechanical
,,Wind energy conversion system for rural power,,"Energy Systems (Intermediate), Mechanical Analysis (Basic)",Mechanical
,,Wind energy conversion system for rural power,,"Energy Systems (Intermediate), Mechanical Analysis (Basic)",Mechanical
,,Wind energy conversion system for rural power,,"Energy Systems (Intermediate), Mechanical Analysis (Basic)",Mechanical
,,Wind energy conversion system for rural power,,"Energy Systems (Intermediate), Mechanical Analysis (Basic)",Mechanical
,,Wind energy conversion system for rural power,,"Energy Systems (Intermediate), Mechanical Analysis (Basic)",Mechanical
,,Wind energy conversion system for rural power,,"Energy Systems (Intermediate), Mechanical Analysis (Basic)",Mechanical
,,Wind energy conversion system for rural power,,"Energy Systems (Intermediate), Mechanical Analysis (Basic)",Mechanical
,,Wind energy conversion system for rural power,,"Energy Systems (Intermediate), Mechanical Analysis (Basic)",Mechanical
,,Wind energy conversion system for rural power,,"Energy Systems (Intermediate), Mechanical Analysis (Basic)",Mechanical
,,Wind energy conversion system for rural power,,"Energy Systems (Intermediate), Mechanical Analysis (Basic)",Mechanical
,,Development of a 5G signal booster,,"Signal Processing (Intermediate), Circuit Analysis (Basic)",Telecommunication
,,Development of a 5G signal booster,,"Signal Processing (Intermediate), Circuit Analysis (Basic)",Telecommunication
,,Development of a 5G signal booster,,"Signal Processing (Intermediate), Circuit Analysis (Basic)",Telecommunication
,,Development of a 5G signal booster,,"Signal Processing (Intermediate), Circuit Analysis (Basic)",Telecommunication
,,Development of a 5G signal booster,,"Signal Processing (Intermediate), Circuit Analysis (Basic)",Telecommunication
,,Development of a 5G signal booster,,"Signal Processing (Intermediate), Circuit Analysis (Basic)",Telecommunication
,,Development of a 5G signal booster,,"Signal Processing (Intermediate), Circuit Analysis (Basic)",Telecommunication
,,Development of a 5G signal booster,,"Signal Processing (Intermediate), Circuit Analysis (Basic)",Telecommunication
,,Development of a 5G signal booster,,"Signal Processing (Intermediate), Circuit Analysis (Basic)",Telecommunication
,,Development of a 5G signal booster,,"Signal Processing (Intermediate), Circuit Analysis (Basic)",Telecommunication
,,Development of a 5G signal booster,,"Signal Processing (Intermediate), Circuit Analysis (Basic)",Telecommunication
,,Development of a 5G signal booster,,"Signal Processing (Intermediate), Circuit Analysis (Basic)",Telecommunication
,,Development of a 5G signal booster,,"Signal Processing (Intermediate), Circuit Analysis (Basic)",Telecommunication
,,Development of a 5G signal booster,,"Signal Processing (Intermediate), Circuit Analysis (Basic)",Telecommunication
,,Development of a 5G signal booster,,"Signal Processing (Intermediate), Circuit Analysis (Basic)",Telecommunication
,,Development of a 5G signal booster,,"Signal Processing (Intermediate), Circuit Analysis (Basic)",Telecommunication
,,Development of a 5G signal booster,,"Signal Processing (Intermediate), Circuit Analysis (Basic)",Telecommunication
,,Development of a 5G signal booster,,"Signal Processing (Intermediate), Circuit Analysis (Basic)",Telecommunication
,,Development of a 5G signal booster,,"Signal Processing (Intermediate), Circuit Analysis (Basic)",Telecommunication
,,Development of a 5G signal booster,,"Signal Processing (Intermediate), Circuit Analysis (Basic)",Telecommunication
,,Development of a 5G signal booster,,"Signal Processing (Intermediate), Circuit Analysis (Basic)",Telecommunication
,,Development of a 5G signal booster,,"Signal Processing (Intermediate), Circuit Analysis (Basic)",Telecommunication
,,Development of a 5G signal booster,,"Signal Processing (Intermediate), Circuit Analysis (Basic)",Telecommunication
,,Development of a 5G signal booster,,"Signal Processing (Intermediate), Circuit Analysis (Basic)",Telecommunication
,,Development of a 5G signal booster,,"Signal Processing (Intermediate), Circuit Analysis (Basic)",Telecommunication
,,Development of a 5G signal booster,,"Signal Processing (Intermediate), Circuit Analysis (Basic)",Telecommunication
,,Development of a 5G signal booster,,"Signal Processing (Intermediate), Circuit Analysis (Basic)",Telecommunication
,,Development of a 5G signal booster,,"Signal Processing (Intermediate), Circuit Analysis (Basic)",Telecommunication
,,Development of a 5G signal booster,,"Signal Processing (Intermediate), Circuit Analysis (Basic)",Telecommunication
,,Development of a 5G signal booster,,"Signal Processing (Intermediate), Circuit Analysis (Basic)",Telecommunication
,,Development of a 5G signal booster,,"Signal Processing (Intermediate), Circuit Analysis (Basic)",Telecommunication
,,Development of a 5G signal booster,,"Signal Processing (Intermediate), Circuit Analysis (Basic)",Telecommunication
,,Development of a 5G signal booster,,"Signal Processing (Intermediate), Circuit Analysis (Basic)",Telecommunication
,,Development of a 5G signal booster,,"Signal Processing (Intermediate), Circuit Analysis (Basic)",Telecommunication
,,Development of a 5G signal booster,,"Signal Processing (Intermediate), Circuit Analysis (Basic)",Telecommunication
,,Development of a 5G signal booster,,"Signal Processing (Intermediate), Circuit Analysis (Basic)",Telecommunication
,,Development of a 5G signal booster,,"Signal Processing (Intermediate), Circuit Analysis (Basic)",Telecommunication
,,Development of a 5G signal booster,,"Signal Processing (Intermediate), Circuit Analysis (Basic)",Telecommunication
,,Development of a 5G signal booster,,"Signal Processing (Intermediate), Circuit Analysis (Basic)",Telecommunication
,,Development of a 5G signal booster,,"Signal Processing (Intermediate), Circuit Analysis (Basic)",Telecommunication
,,Development of a 5G signal booster,,"Signal Processing (Intermediate), Circuit Analysis (Basic)",Telecommunication
,,Development of a 5G signal booster,,"Signal Processing (Intermediate), Circuit Analysis (Basic)",Telecommunication
,,Development of a 5G signal booster,,"Signal Processing (Intermediate), Circuit Analysis (Basic)",Telecommunication
,,Development of a 5G signal booster,,"Signal Processing (Intermediate), Circuit Analysis (Basic)",Telecommunication
,,Development of a 5G signal booster,,"Signal Processing (Intermediate), Circuit Analysis (Basic)",Telecommunication
,,Development of a 5G signal booster,,"Signal Processing (Intermediate), Circuit Analysis (Basic)",Telecommunication
,,Development of a 5G signal booster,,"Signal Processing (Intermediate), Circuit Analysis (Basic)",Telecommunication
,,Development of a 5G signal booster,,"Signal Processing (Intermediate), Circuit Analysis (Basic)",Telecommunication
,,Development of a 5G signal booster,,"Signal Processing (Intermediate), Circuit Analysis (Basic)",Telecommunication
,,Development of a 5G signal booster,,"Signal Processing (Intermediate), Circuit Analysis (Basic)",Telecommunication
,,Development of a 5G signal booster,,"Signal Processing (Intermediate), Circuit Analysis (Basic)",Telecommunication
,,Development of a 5G signal booster,,"Signal Processing (Intermediate), Circuit Analysis (Basic)",Telecommunication
,,Development of a 5G signal booster,,"Signal Processing (Intermediate), Circuit Analysis (Basic)",Telecommunication
,,Development of a 5G signal booster,,"Signal Processing (Intermediate), Circuit Analysis (Basic)",Telecommunication
,,Development of a 5G signal booster,,"Signal Processing (Intermediate), Circuit Analysis (Basic)",Telecommunication
,,Development of a 5G signal booster,,"Signal Processing (Intermediate), Circuit Analysis (Basic)",Telecommunication
,,Development of a 5G signal booster,,"Signal Processing (Intermediate), Circuit Analysis (Basic)",Telecommunication
,,Development of a 5G signal booster,,"Signal Processing (Intermediate), Circuit Analysis (Basic)",Telecommunication
,,Development of a 5G signal booster,,"Signal Processing (Intermediate), Circuit Analysis (Basic)",Telecommunication
,,Development of a 5G signal booster,,"Signal Processing (Intermediate), Circuit Analysis (Basic)",Telecommunication
,,Development of a 5G signal booster,,"Signal Processing (Intermediate), Circuit Analysis (Basic)",Telecommunication
,,Development of a 5G signal booster,,"Signal Processing (Intermediate), Circuit Analysis (Basic)",Telecommunication
,,Development of a 5G signal booster,,"Signal Processing (Intermediate), Circuit Analysis (Basic)",Telecommunication
,,Development of a 5G signal booster,,"Signal Processing (Intermediate), Circuit Analysis (Basic)",Telecommunication
,,Development of a 5G signal booster,,"Signal Processing (Intermediate), Circuit Analysis (Basic)",Telecommunication
,,Development of a 5G signal booster,,"Signal Processing (Intermediate), Circuit Analysis (Basic)",Telecommunication
,,Development of a 5G signal booster,,"Signal Processing (Intermediate), Circuit Analysis (Basic)",Telecommunication
,,Development of a 5G signal booster,,"Signal Processing (Intermediate), Circuit Analysis (Basic)",Telecommunication
,,Development of a 5G signal booster,,"Signal Processing (Intermediate), Circuit Analysis (Basic)",Telecommunication
,,Development of a 5G signal booster,,"Signal Processing (Intermediate), Circuit Analysis (Basic)",Telecommunication
,,Development of a 5G signal booster,,"Signal Processing (Intermediate), Circuit Analysis (Basic)",Telecommunication
,,Development of a 5G signal booster,,"Signal Processing (Intermediate), Circuit Analysis (Basic)",Telecommunication
,,Development of a 5G signal booster,,"Signal Processing (Intermediate), Circuit Analysis (Basic)",Telecommunication
,,Development of a 5G signal booster,,"Signal Processing (Intermediate), Circuit Analysis (Basic)",Telecommunication
,,Development of a 5G signal booster,,"Signal Processing (Intermediate), Circuit Analysis (Basic)",Telecommunication
,,Development of a 5G signal booster,,"Signal Processing (Intermediate), Circuit Analysis (Basic)",Telecommunication
,,Development of a 5G signal booster,,"Signal Processing (Intermediate), Circuit Analysis (Basic)",Telecommunication
,,Development of a 5G signal booster,,"Signal Processing (Intermediate), Circuit Analysis (Basic)",Telecommunication
,,Development of a 5G signal booster,,"Signal Processing (Intermediate), Circuit Analysis (Basic)",Telecommunication
,,Development of a 5G signal booster,,"Signal Processing (Intermediate), Circuit Analysis (Basic)",Telecommunication
,,Development of a 5G signal booster,,"Signal Processing (Intermediate), Circuit Analysis (Basic)",Telecommunication
,,Development of a 5G signal booster,,"Signal Processing (Intermediate), Circuit Analysis (Basic)",Telecommunication
,,Development of a 5G signal booster,,"Signal Processing (Intermediate), Circuit Analysis (Basic)",Telecommunication
,,Development of a 5G signal booster,,"Signal Processing (Intermediate), Circuit Analysis (Basic)",Telecommunication
,,Development of a 5G signal booster,,"Signal Processing (Intermediate), Circuit Analysis (Basic)",Telecommunication
,,Development of a 5G signal booster,,"Signal Processing (Intermediate), Circuit Analysis (Basic)",Telecommunication
,,Development of a 5G signal booster,,"Signal Processing (Intermediate), Circuit Analysis (Basic)",Telecommunication
,,Development of a 5G signal booster,,"Signal Processing (Intermediate), Circuit Analysis (Basic)",Telecommunication
,,Development of a 5G signal booster,,"Signal Processing (Intermediate), Circuit Analysis (Basic)",Telecommunication
,,Development of a 5G signal booster,,"Signal Processing (Intermediate), Circuit Analysis (Basic)",Telecommunication
,,Development of a 5G signal booster,,"Signal Processing (Intermediate), Circuit Analysis (Basic)",Telecommunication
,,Development of a 5G signal booster,,"Signal Processing (Intermediate), Circuit Analysis (Basic)",Telecommunication
